Year,Brand,YouTube URL,Funny,Shows Product Quickly,Patriotic,Celebrity,Danger,Animals,Use Sex,View Counts,Duration (seconds)
2008,Bud Light,https://www.youtube.com/watch?v=Ao0x4zsb724,True,True,True,True,False,False,True,731944,32
2008,Bud Light,https://www.youtube.com/watch?v=ecqiZn2DDFQ,True,True,False,True,False,False,True,1061495,32
2010,E-Trade,https://www.youtube.com/watch?v=tbLTl7egwlU,True,True,False,False,False,False,True,1051386,31
2013,Budweiser,https://www.youtube.com/watch?v=2WNvlXoDs7w,False,True,False,False,False,False,True,271,33
2001,Pepsi,https://www.youtube.com/watch?v=MwfL-DkL1Vg,True,True,False,False,False,False,True,65413,31
2018,Coca-Cola,https://www.youtube.com/watch?v=nkGd47iB-wU,False,True,False,False,False,False,True,603,31
2003,Bud Light,https://www.youtube.com/watch?v=DTvxyDwP2CA,True,True,False,False,False,False,False,181772,31
2011,Pepsi,https://www.youtube.com/watch?v=r4eyQBvcBUA,True,True,False,False,True,False,True,282032,31
2018,E-Trade,https://www.youtube.com/watch?v=Qx5-AZlfjp4,True,False,True,False,False,False,True,36245,31
2016,Budweiser,https://www.youtube.com/watch?v=to4dhysGYD0,False,True,True,False,False,True,False,7619,31
2008,Coca-Cola,https://www.youtube.com/watch?v=-ACk9mRky5k,True,True,False,True,True,True,False,72388,63
2013,Kia,https://www.youtube.com/watch?v=yhPBzlB6VJI,True,True,False,False,True,False,True,34914,41
2014,Coca-Cola,https://www.youtube.com/watch?v=D4BC8zUfNhU,False,True,True,False,False,True,False,97880,61
2012,Budweiser,https://www.youtube.com/watch?v=TieDNumMwOc,False,True,True,False,False,True,False,41,61
2004,Bud Light,https://www.youtube.com/watch?v=j7QA9oHpduk,True,True,False,False,True,True,False,8456,31
2007,Bud Light,https://www.youtube.com/watch?v=670X2MCWzK0,True,True,False,True,False,False,False,957640,29
2007,Budweiser,https://www.youtube.com/watch?v=YnGpb8lbPOI,False,False,False,True,False,False,False,236,64
2019,Kia,https://www.youtube.com/watch?v=nONhop0Kq-E,False,False,True,False,False,False,False,639,41
2010,E-Trade,https://www.youtube.com/watch?v=tVrE5-eiSNA,True,False,False,False,False,False,False,26620,31
2003,Bud Light,https://www.youtube.com/watch?v=RuIXFuwLb2s,True,True,False,False,False,False,False,182893,31
2003,Budweiser,https://www.youtube.com/watch?v=hM79LTkT7ek,True,True,False,False,False,True,False,3181,31
2013,Budweiser,https://www.youtube.com/watch?v=eJucRz8kYo0,False,True,False,False,False,True,False,361567,73
2010,Budweiser,https://www.youtube.com/watch?v=IQHlA9qKJv4,True,True,True,False,False,True,False,61,61
2003,Bud Light,https://www.youtube.com/watch?v=BKexURCYxtk,True,True,False,False,False,True,False,17899,31
2002,E-Trade,https://www.youtube.com/watch?v=SK1i1iyE7RA,True,True,False,False,False,True,True,2400,63
2006,Budweiser,https://www.youtube.com/watch?v=q05QIp5qbnY,True,True,False,False,True,False,False,120711,34
2012,Coca-Cola,https://www.youtube.com/watch?v=S2nBBMbjS8w,False,True,False,False,True,True,False,24399414,63
2019,Bud Light,https://www.youtube.com/watch?v=nScg3KmA_6k,True,True,False,False,False,False,False,297,16
2007,Toyota,https://www.youtube.com/watch?v=D81uh6I-2Q4,False,True,False,False,False,False,False,286239,31
2014,Hynudai,https://www.youtube.com/watch?v=CyK63f0I1P0,True,False,False,False,True,False,True,37426,40
2006,Pepsi,https://www.youtube.com/watch?v=sx0i7WgBOvs,True,True,False,True,True,False,False,69982,32
2006,Pepsi,https://www.youtube.com/watch?v=d8f-PiELHls,True,True,False,True,False,False,True,6883,65
2015,Pepsi,https://www.youtube.com/watch?v=IUU_ygKs3jA,False,True,False,False,False,True,False,1051,32
2012,Bud Light,https://www.youtube.com/watch?v=3LPLXuHlOCI,False,True,False,False,False,False,False,23551,31
2009,Doritos,https://www.youtube.com/watch?v=Fdz0Q0GiEcc,True,True,False,False,True,False,False,26277,31
2006,Budweiser,https://www.youtube.com/watch?v=Zb3fhsfs6ZU,True,False,False,False,False,True,True,783909,31
2014,Bud Light,https://www.youtube.com/watch?v=_l1nWWiut0I,False,True,False,False,False,False,False,10294,33
2005,Pepsi,https://www.youtube.com/watch?v=eXfNnSOOoVc,True,True,False,True,False,False,True,44306,91
2005,Bud Light,https://www.youtube.com/watch?v=Q5Hu_FBUIsk,True,True,False,True,False,True,True,3687,31
2007,Bud Light,https://www.youtube.com/watch?v=osn2rzClKh0,True,True,False,False,False,True,False,176,31
2005,Pepsi,https://www.youtube.com/watch?v=bHY2miRSwh4,True,False,False,True,False,False,True,527,31
2015,Budweiser,https://www.youtube.com/watch?v=otCxSnu_HXA,False,True,True,False,True,True,False,512154,107
2019,Bud Light,https://www.youtube.com/watch?v=8fhOItB0zUM,True,True,False,False,True,True,False,7692835,95
2004,Bud Light,https://www.youtube.com/watch?v=gWqR28uRxXw,True,True,False,True,False,False,True,41287,33
2003,Budweiser,https://www.youtube.com/watch?v=R67qcUIbFhs,True,False,False,False,False,False,True,21859,32
